Title,Author,Publication_Date,Genres,Summary,image
Dodsworth,Sinclair Lewis,1929,['Novel']," Samual 'Sam' Dodsworth is an ambitious and innovative automobile designer, who builds his fortunes in Zenith, Winnemac. In addition to his success in the business world, he had also succeeded as a young man in winning the hand of Frances 'Fran' Voelker, a beautiful young socialite. While the book provides the courtship as a backstory, the real novel begins upon his retirement. At the age of fifty and facing retirement due to his selling of his",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019144F580>
Lost Horizon,James Hilton,1933,"['Childrens literature', 'Adventure novel', 'Speculative fiction', 'Fantasy', 'Nonfiction novel', 'Lost World', 'Fiction']"," The origin of the eleven numbered chapters of the novel is explained in a prologue and epilogue, whose narrator is a neurologist. This neurologist and a novelist friend, Rutherford, are given dinner at Tempelhof, Berlin, by their old school-friend Wyland, a secretary at the British embassy. A chance remark by a passing airman brings up the topic of Hugh Conway, a British consul in Afghanistan, who disappeared under odd circumstances. Later in the evening",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019144E080>
The Red Badge of Courage,Stephen Crane,1895,['Fiction']," On a cold day the fictional 304th New York Regiment awaits battle beside a river. Eighteen-year-old Private Henry Fleming, remembering his romantic reasons for enlisting as well as his mother's resulting protests, wonders whether he will remain brave in the face of fear, or turn and run. He is comforted by one of his friends from home, Jim Conklin, who admits that he would run from battle if his fellow soldiers also fled. During the regiment's first",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019144DD80>
Of Mice and Men,John Steinbeck,1937,['Novella']," Two migrant field workers in California on their plantation during the Great Depression—George Milton, an intelligent but uneducated man, and Lennie Small, a man of large stature and great strength but limited mental abilities—are on their way to another part of California in Soledad. They hope to one day attain their shared dream of settling down on their own piece of land. Lennie's part of the dream is merely to tend to (and touch) soft rabbits on the farm.",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019144CB20>
Ishmael,Daniel Quinn,1992,"['Speculative fiction', 'Fantasy', 'Fiction', 'Novel']"," Ishmael begins with a newspaper ad: ""Teacher seeks pupil. Must have an earnest desire to save the world. Apply in person."" The nameless narrator and protagonist begins his story, telling how he first reacted to this ad with scorn because of the absurdity of ""wanting to savethe world,"" a notion he feels that once he foolishly embraced himself as an adolescent during the counterculture movement of the 1960s. However, he responds to the ad anyway and, upon",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019144F520>
David Copperfield,Charles Dickens,1850,"['Ku00fcnstlerroman', 'Fiction', 'Novel']"," The story traces the life of David Copperfield from childhood to maturity. David was born in Blunderston near Great Yarmouth, Norfolk, England, in 1820, six months after the death of his father. Seven years later, his mother re-marries Edward Murdstone. David is given good reason to dislike his stepfather and has similar feelings for Murdstone's sister Jane, who moves into the house soon afterwards. Murdstone thrashes David for falling behind in his",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019144E7D0>
Childhood's End,Arthur C. Clarke,1953,"['Science Fiction', 'Speculative fiction', 'Catastrophic literature', 'Transhumanism']"," The novel is divided into three parts, following a third-person omniscient narrative with no main character. In the late 20th century, the United States and the Soviet Union are competing to launch the first spaceship into orbit, to military ends. However, when vast alien spaceships suddenly position themselves above Earth's principal cities, the space race is halted forever. After one week, the aliens announce they are assuming supervision of international affairs to prevent humanity's extinction. As the Overlords",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019144C2B0>
The Two Towers,J. R. R. Tolkien,1954-11-11,"['Science Fiction', 'Childrens literature', 'Fantasy', 'Speculative fiction', 'Fiction']"," As Aragorn searches for Frodo, he suddenly hears Boromir's horn. He finds Boromar mortally wounded by arrows, his assailants gone. Before Boromirs dies, Aragorns also learns that Merry and Pippin were kidnapped by Saruman's Uruk-hai in spite of his efforts to defend them, and that Frodo had vanished after BoromIR had tried to take the Ring from him and that he truly regretted his actions. In",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019144D3C0>
The Return of the King,J. R. R. Tolkien,1955-10-20,"['Science Fiction', 'Biography', 'Speculative fiction', 'Fantasy', 'Fiction', 'Autobiography']"," Gandalf and Pippin arrive at Minas Tirith in the kingdom of Gondor, delivering the news to Denethor, the Lord and Steward of Gundor, that a devastating attack on his city by Sauron, the Dark Lord of Mordor is imminent. Pippinn then enters the service of the Steward as repayment of a debt he owes to Boromir, Denethan's dead son and preferred heir. Now clad in the uniform of",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019144F370>
The Drawing of the Three,Stephen King,1987-05,"['Science Fiction', 'Childrens literature', 'Horror', 'Western fiction', 'Speculative fiction', 'Fantasy', 'Fiction']"," The book begins less than seven hours after the end of The Dark Tower: The Gunslinger after The Man in Black has described The Gunsling's fate using tarot cards. Roland wakes up on a beach, where he is suddenly attacked by a strange, lobster-like creature, which he dubs a ""lobstrosity."" He kills the creature but not before losing the index and middle finger of his right hand, and most of his left big toe; his untreated wounds soon",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019144EDA0>
The Gunslinger,Stephen King,1982-06-10,"['Science Fiction', 'Childrens literature', 'Horror', 'Western fiction', 'Speculative fiction', 'Western', 'Fantasy', 'Fiction']"," It tells the story of the gunslinger, Roland of Gilead, and his quest to catch the man in black, the first of many steps towards his ultimate destination - the Dark Tower. The main story takes place in a world that is somewhat similar to the Old West but exists in an alternate time frame or parallel universe to ours. Roland exists in a place where ""the world has moved on."" This world has a few things in common with our own, however, including memories",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019144D600>
On Writing: A Memoir of the Craft,Stephen King,2000-10-03,['Autobiography']," The first section of On Writing is an Autobiography mainly about King’s early exposure to writing, and his childhood attempts at writing. King talks about his early attempts to get published, and he first novel Carrie. King also talks about the fame as a writer, and what it took to get there. This includes his relationship with his wife, the death of his mother and his history of drug and alcohol abuse. The second section is practical advice on writing, including tips on",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019144D300>
The Body,Stephen King,1982,['Novella']," Vern Tessio informs his three friends that he has overheard his older brother Billy talking with his friend Charlie Hogan, about the location of the corpse of Ray Brower, a boy from Chamberlain, a town 40 miles or so east of Castle Rock, who has gone missing, while going out to pick blueberries with one of his mother's pails. The four friends decide that they will find it so as to be famous. The boys walk along the railroad tracks toward the presumed location of",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019144F910>
Wizard and Glass,Stephen King,1997-11-04,"['Science Fiction', 'Childrens literature', 'Horror', 'Speculative fiction', 'Fantasy', 'Fiction']"," The novel begins where The Waste Lands ended. After Jake, Eddie, Susannah and Roland fruitlessly riddle Blaine the Mono for several hours, Eddie defeats the mad computer by telling childish jokes. Blaine is unable to handle Eddie's ""illogical"" riddles, and short-circuits. The four gunslingers and Oy the billy-bumbler disembark at the Topeka railway station, which to their surprise is located in the Top Topeka, Kansas,",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019144C6D0>
The Waste Lands,Stephen King,1991-08,"['Fantasy', 'Science Fiction', 'Speculative fiction', 'Horror', 'Fiction']"," The story begins five weeks after the end of The Drawing of the Three. Roland, Susannah, and Eddie have moved east from the shore of the Western Sea, and into the woods of Out-World. After an encounter with a gigantic cyborg bear named Shardik, they discover one of the six mystical Beams that hold the world together. The three gunslingers follow the Path of the Beam inland to Mid-World, and Roland now reveals to his ka-tet",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019144D030>
The Eyes of the Dragon,Stephen King,1987-02-02,"['Childrens literature', 'Fantasy', 'Speculative fiction', 'Fiction']"," The Eyes of the Dragon takes place entirely within the realm of Delain (which itself is located within In-World from The Dark Tower series). It is told from the perspective of an unnamed storyteller/narrator, who speaks casually and frankly to the reader, frequently adding his own commentary on characters' motivations and the like. The King's magician, Flagg, seeking to destroy the Kingdom of Delains, sees his plans being ruined by the good heart of Queen Sasha",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019144CD60>
The Girl Who Loved Tom Gordon: A Novel,Stephen King,1999-04-06,['Fiction']," The story is set in motion by a family hiking trip, during which Trisha's brother, Pete, and mother constantly squabble about the mother's divorce with her father, as well as other topics. Trisha falls back to avoid listening and is therefore unable to find her family again after she wanders off the trail to take a bathroom break. Trying to catch up by attempting a shortcut, she slips and falls down a steep embankment and ends up hopelessly lost,",<PIL.Image.Image image mode=RGB size=512x512 at 0x79019144C1C0>
